Date,AAPL,MSFT,TLT,VNQ,SPY
2020-11-09,113.34172058105467,209.3978576660156,135.6361083984375,68.89157104492188,331.4587707519531
2020-11-10,113.0007095336914,202.32174682617188,134.8539276123047,69.89918518066406,330.9726867675781
2020-11-11,116.43057250976562,207.6336669921875,135.34059143066406,70.16565704345703,333.4313049316406
2020-11-12,116.1577377319336,206.56935119628903,137.64376831054688,69.2496566772461,330.19677734375
2020-11-13,116.20645904541016,207.5953063964844,137.4613037109375,71.09830474853516,334.7681579589844
2020-11-16,117.2198257446289,208.28561401367188,137.13104248046875,71.8977279663086,338.9468994140625
2020-11-17,116.33313751220705,205.62969970703125,138.0261993408203,71.96436309814453,337.1239013671875
2020-11-18,115.0079574584961,202.9187164306641,138.4260711669922,70.56536102294922,333.06671142578125
2020-11-19,115.60235595703124,204.20687866210932,139.13870239257812,70.84015655517578,334.4689636230469
2020-11-20,114.33561706542967,202.25538635253903,140.37283325195312,70.45710754394531,332.1785583496094
2020-11-23,110.93498992919922,201.9862670898437,139.72972106933594,70.59033966064453,334.1697998046875
2020-11-24,112.22119140625,205.5912322998047,138.33914184570312,70.96507263183594,339.5545654296875
2020-11-25,113.05916595458984,205.6008453369141,137.91319274902344,71.00670623779297,339.031005859375
2020-11-27,113.60482025146484,206.90830993652344,139.25167846679688,70.69027709960938,339.9752502441406
2020-11-30,116.00184631347656,205.7930908203125,139.0778350830078,69.94915771484375,338.4701232910156
2020-12-01,119.57787322998048,207.8503875732422,137.02719116210938,70.8484878540039,342.1721496582031
2020-12-02,119.92864990234376,207.0428771972656,135.93975830078125,70.29056549072266,342.8919372558594
2020-12-03,119.7922592163086,205.95655822753903,137.03594970703125,70.88179779052734,342.7984619140625
2020-12-04,119.11992645263672,206.07192993164065,135.02626037597656,71.96436309814453,345.7525939941406
2020-12-07,120.58148956298828,206.004638671875,136.2442169189453,71.33980560302734,345.04205322265625
2020-12-08,121.1953582763672,207.6581268310547,136.8880157470703,71.0899887084961,346.0516967773437
2020-12-09,118.66192626953124,203.6109161376953,136.43563842773438,70.64862823486328,342.9480895996094
2020-12-10,120.08456420898438,202.38040161132807,137.64501953125,70.34051513671875,342.8358154296875
2020-12-11,119.27581787109376,205.01443481445312,138.1322021484375,70.27389526367188,342.433837890625
2020-12-14,118.66192626953124,205.9181060791016,137.7493896484375,69.96580505371094,340.900634765625
2020-12-15,124.60575103759766,205.85079956054688,137.28823852539062,71.3980941772461,345.5095520019531
2020-12-16,124.53755950927734,210.8016967773437,136.9228515625,71.48137664794922,346.0516967773437
2020-12-17,125.40475463867188,210.936264038086,136.56053161621094,72.17253112792969,347.9869079589844
2020-12-18,123.41699981689452,210.1383209228516,136.15121459960938,70.72357940673828,346.5974426269531
2020-12-21,124.94676971435548,213.9836883544922,136.691162109375,70.32386016845703,345.3581237792969
2020-12-22,128.50331115722656,215.281494140625,137.39657592773438,70.815185546875,344.7760925292969
2020-12-23,127.60689544677734,212.47439575195312,136.44732666015625,70.3572006225586,345.0858459472656
2020-12-24,128.59104919433594,214.1374969482422,136.98728942871094,70.97315979003906,346.42840576171875
2020-12-28,133.19017028808594,216.2620849609375,137.04824829101562,71.396240234375,349.4044494628906
2020-12-29,131.4167938232422,215.4833984375,136.87405395507812,70.78703308105469,348.73779296875
2020-12-30,130.29623413085938,213.10885620117188,137.170166015625,71.17623901367188,349.2355041503906
2020-12-31,129.2926025390625,213.82028198242188,137.37051391601562,71.8615951538086,351.0099182128906
2021-01-04,126.09658813476562,209.27313232421875,137.2050323486328,69.52628326416016,346.2312927246094
2021-01-05,127.65560913085938,209.4750061035156,136.18600463867188,69.62781524658203,348.6158447265625
2021-01-06,123.35852813720705,204.04348754882807,133.3903350830078,69.74629211425781,350.699951171875
2021-01-07,127.56792449951172,209.84996032714844,132.214599609375,69.61090087890625,355.9105529785156
2021-01-08,128.66900634765625,211.1285095214844,131.78790283203125,70.28780364990234,357.9384460449219
2021-01-11,125.6775894165039,209.0808868408203,131.57017517089844,69.35707092285156,355.5256652832031
2021-01-12,125.50221252441406,206.6198883056641,131.46563720703125,69.51780700683594,355.60076904296875
2021-01-13,127.53868865966795,207.9753570556641,132.9461669921875,70.36394500732422,356.558349609375
2021-01-14,125.60940551757812,204.7837371826172,131.70079040527344,70.7785415649414,355.3096923828125
2021-01-15,123.88468933105467,204.42800903320312,132.22329711914062,71.59082794189453,352.7185363769531
2021-01-19,124.55703735351562,208.07150268554688,132.6500701904297,71.38776397705078,355.4881286621094
2021-01-20,128.64952087402344,215.6660614013672,132.78073120117188,72.75001525878906,360.4075927734375
2021-01-21,133.3656005859375,216.2716827392578,131.8488311767578,72.40312957763672,360.7362060546875
2021-01-22,135.50926208496094,217.2137756347656,132.27561950683594,72.57234191894531,359.4593505859375
2021-01-25,139.26063537597656,220.6553649902344,133.8345489501953,73.12232971191406,360.87701416015625
2021-01-26,139.49449157714844,223.3471221923828,133.58197021484375,73.63844299316406,360.3136901855469
2021-01-27,138.42271423339844,223.89508056640625,133.92161560058594,72.33543395996094,351.5074157714844
2021-01-28,133.57992553710938,229.6919403076172,133.18136596679688,72.7246322631836,354.53045654296875
2021-01-29,128.581298828125,222.9914093017578,132.38002014160156,71.88697814941406,347.432861328125
2021-02-01,130.7055206298828,230.3840484619141,132.53353881835938,73.5284652709961,353.21612548828125
2021-02-02,131.53372192382812,230.24948120117188,131.6790313720703,73.96846771240234,358.2106628417969
2021-02-03,130.51058959960938,233.6045837402344,130.51071166992188,73.78229522705078,358.4923400878906
2021-02-04,133.87225341796875,232.65280151367188,130.161865234375,74.28997802734375,362.5669250488281
2021-02-05,133.45753479003906,232.83551025390625,129.0719757080078,74.55228424072266,363.9938354492188
2021-02-08,133.6039276123047,233.09503173828125,129.63873291015625,74.95842742919922,366.6226806640625
2021-02-09,132.72561645507812,234.34478759765625,129.7346649169922,75.22071075439453,366.3784790039063
2021-02-10,132.12059020996094,233.4315490722656,130.59786987304688,75.62686920166016,366.2188415527344
2021-02-11,131.86688232421875,235.0369873046875,129.88291931152344,75.78762817382812,366.8103637695313
2021-02-12,132.10107421875,235.51763916015625,128.2698211669922,75.80455017089844,368.6223754882813
2021-02-16,129.9737091064453,234.27749633789065,126.31671905517578,75.22071075439453,368.3030700683594
2021-02-17,127.68048095703124,235.298828125,127.1188735961914,75.12763977050781,368.38763427734375
2021-02-18,126.5777816772461,234.90380859375,126.60450744628906,74.8061294555664,366.8197937011719
2021-02-19,126.7339096069336,232.18658447265625,124.92160034179688,75.23763275146484,366.1719665527344
2021-02-22,122.95736694335938,225.96206665039065,123.9711685180664,75.8637924194336,363.35546875
2021-02-23,122.82072448730467,224.7672576904297,123.6137466430664,76.33760833740234,363.7967224121094
2021-02-24,122.32305145263672,226.0005798339844,122.80281829833984,76.92144775390625,367.8055419921875
2021-02-25,118.06835174560548,220.64328002929688,120.7973861694336,75.44916534423828,358.94305419921875
2021-02-26,118.33181762695312,223.9097442626953,124.7908706665039,74.3492202758789,357.0934753417969
2021-03-01,124.70411682128906,228.303466796875,123.1426773071289,74.67921447753906,365.7494812011719
2021-03-02,122.09859466552734,225.34539794921875,123.15135955810548,73.96000671386719,362.8954772949219
2021-03-03,119.11248779296876,219.265380859375,121.81568908691406,73.53693389892578,358.088623046875
2021-03-04,117.22911071777344,218.46566772460932,121.030029296875,72.69925689697266,353.6573791503906
2021-03-05,118.4879379272461,223.1581268310547,121.26569366455078,73.49462127685547,360.1634216308594
2021-03-08,113.55013275146484,219.1016082763672,120.32291412353516,74.12921142578125,358.370361328125
2021-03-09,118.1659164428711,225.25868225097656,121.99031829833984,74.61998748779297,363.4869384765625
2021-03-10,117.0827178955078,223.9482269287109,122.23474884033205,75.36456298828125,365.7494812011719
2021-03-11,119.01490783691406,228.4865875244141,121.35299682617188,76.24453735351562,369.4578857421875
2021-03-12,118.10736846923828,227.15684509277344,118.77772521972656,77.5221939086914,369.9554748535156
2021-03-15,120.99590301513672,226.2511444091797,119.47615051269533,78.67293548583984,372.1617126464844
2021-03-16,122.5377426147461,229.0454559326172,118.99600219726562,78.35137939453125,371.6922607421875
2021-03-17,121.74730682373048,228.3998260498047,118.10549926757812,78.41909790039062,372.9597473144531
2021-03-18,117.61943817138672,222.31021118164065,116.9095687866211,77.62373352050781,367.5332946777344
2021-03-19,117.09247589111328,221.95367431640625,117.6341323852539,76.56607818603516,366.8532409667969
2021-03-22,120.41039276123048,227.3880920410156,118.95228576660156,77.10758209228516,369.7825622558594
2021-03-23,119.58091735839844,228.920150756836,120.02610778808594,76.99761199951172,366.8721008300781
2021-03-24,117.19004821777344,226.87741088867188,120.67208099365234,76.56607818603516,365.0070495605469
2021-03-25,117.67798614501952,223.8711700439453,119.72057342529295,77.34564208984375,367.0604553222656
