Date,MSFT
2019-09-30,131.80494689941406
2019-10-01,129.94688415527344
2019-10-02,127.65258026123048
2019-10-03,129.19786071777344
2019-10-04,130.94219970703125
2019-10-07,129.99423217773438
2019-10-08,128.6195831298828
2019-10-09,131.05596923828125
2019-10-10,131.87130737304688
2019-10-11,132.42115783691406
2019-10-14,132.29794311523438
2019-10-15,134.21295166015625
2019-10-16,133.11325073242188
2019-10-17,132.43064880371094
2019-10-18,130.26913452148438
2019-10-21,131.2361297607422
2019-10-22,129.28317260742188
2019-10-23,130.10797119140625
2019-10-24,132.66769409179688
2019-10-25,133.41661071777344
2019-10-28,136.69683837890625
2019-10-29,135.4075164794922
2019-10-30,137.09503173828125
2019-10-31,135.9193878173828
2019-11-01,136.25125122070312
2019-11-04,137.03807067871094
